RESUMO DOS RESULTADOS;;;;;;;;
;;;;;;;;
Estatística de regressão;;;;;;;;
R múltiplo;0,954842431;;;;;;;
R-Quadrado;0,911724068;;;;;;;
R-quadrado ajustado;0,882298757;;;;;;;
Erro padrão;2,07301182;;;;;;;
Observações;13;;;;;;;
;;;;;;;;
ANOVA;;;;;;;;
;gl;SQ;MQ;F;F de significação;;;
Regressão;3;399,4543672;133,1514557;30,98434802;4,50E-05;;;
Resíduo;9;38,67640206;4,297378006;;;;;
Total;12;438,1307692;;;;;;
;;;;;;;;
;Coeficientes;Erro padrão;Stat t;valor-P;95% inferiores;95% superiores;Inferior 95,0%;Superior 95,0%
Interseção;39,15734995;5,88705963;6,651427438;9,36E-05;25,83989584;52,47480407;25,83989584;52,47480407
Variável X 1;1,016100441;0,190895196;5,322818294;0,0004792;0,584265506;1,447935375;0,584265506;1,447935375
Variável X 2;-1,861649203;0,267325499;-6,963979162;6,58E-05;-2,466381494;-1,256916911;-2,466381494;-1,256916911
Variável X 3;-0,343260493;0,617052039;-0,556290995;0,591572145;-1,739129182;1,052608197;-1,739129182;1,052608197
